OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Cold Wave - Number of Events,Cold Wave - Annualized Frequency,Cold Wave - Exposure - Impacted Area (sq mi),Cold Wave - Exposure - Building Value,Cold Wave - Exposure - Population,Cold Wave - Exposure - Population Equivalence,Cold Wave - Exposure - Agriculture Value,Cold Wave - Exposure - Total,Cold Wave - Historic Loss Ratio - Buildings,Cold Wave - Historic Loss Ratio - Population,Cold Wave - Historic Loss Ratio - Agriculture,Cold Wave - Historic Loss Ratio - Total Rating,Cold Wave - Expected Annual Loss - Building Value,Cold Wave - Expected Annual Loss - Population,Cold Wave - Expected Annual Loss - Population Equivalence,Cold Wave - Expected Annual Loss - Agriculture Value,Cold Wave - Expected Annual Loss - Total,Cold Wave - Expected Annual Loss Score,Cold Wave - Expected Annual Loss Rating,Cold Wave - Expected Annual Loss Rate - Building,Cold Wave - Expected Annual Loss Rate - Population,Cold Wave - Expected Annual Loss Rate - Agriculture,Cold Wave - Expected Annual Loss Rate - National Percentile,Cold Wave - Hazard Type Risk Index Value,Cold Wave - Hazard Type Risk Index Score,Cold Wave - Hazard Type Risk Index Rating,National Risk Index Version
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,0.00,0.00,42.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,0.00,0.00,162.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,0.00,0.00,63.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,0.00,0.00,79.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,0.00,0.00,142.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,0.00,0.00,116.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,0.11,0.01,469.23,"3,213,988.00",0.00,0.00,221.00,"3,214,209.00",0.00,0.00,0.00,Very Low,0.037768,0.00,0.00,0.00,0.04,16.51,Very Low,0.000000,0.00,0.00,93.12,0.05,15.47,Very Low,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,0.06,0.00,323.84,"6,115,920.00",0.00,0.00,"11,736.00","6,127,656.00",0.00,0.00,0.00,Very Low,0.104993,0.00,0.00,0.01,0.12,16.54,Very Low,0.000000,0.00,0.00,93.19,0.15,15.49,Very Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,0.00,0.00,1.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,0.00,0.00,2.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,0.00,0.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.000000,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.000000,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
