OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Expected Annual Loss - Score - Composite,Expected Annual Loss - Rating - Composite,Expected Annual Loss - State Percentile - Composite,Expected Annual Loss - Total - Composite,Expected Annual Loss - Building Value - Composite,Expected Annual Loss - Population - Composite,Expected Annual Loss - Population Equivalence - Composite,Expected Annual Loss - Agriculture Value - Composite,Expected Annual Loss Rate - Building - Composite,Expected Annual Loss Rate - Population - Composite,Expected Annual Loss Rate - Agriculture - Composite,Expected Annual Loss Rate - National Percentile - Composite,Social Vulnerability and Community Resilience Adjusted Expected Annual Loss Rate - National Percentile - Composite,National Risk Index Version
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,210911397,0,0.33878949,9.748220870423,Very Low,8.96551724137931,524424.868469788,492936.203525394,0.00229844261783898,31488.6649443941,0,0.00262361161727498,1.56997446573701E-06,0,92.1236818000329,80.5132412923787,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,285011674,112491,1.06938273,25.0017615144327,Relatively Low,21.3793103448276,837619.92156219,774570.853584332,0.00460173691897684,63043.7950650827,5.27260977552642,0.00305075533094588,2.59838335345954E-06,5.26161300434734E-05,93.9180778354511,85.0986407905533,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,319953943,0,0.28569177,42.1741785471029,Relatively Low,37.2413793103448,1189871.34961138,1145358.01626508,0.00324914836007285,44513.332916298,0,0.004018487954506,1.48024982235665E-06,0,98.5485121074759,94.1636045806429,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,504925697,0,0.86587098,58.6173286046457,Relatively Moderate,48.9655172413793,1592691.4543927,1507416.48536137,0.00622445023625043,85274.9670713308,0,0.0033513104741466,2.3721228034491E-06,0,96.3841980411959,96.5335997050884,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,491381281,0,0.31715385,58.7652958169904,Relatively Moderate,49.1954022988506,1596962.80942703,1377799.7721327,0.0159973026788776,219163.046954323,0,0.00314757710365295,5.76687191019381E-06,0,90.5101345797027,82.2494143388867,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,474000379,127332,0.46062042,55.8564483171665,Relatively Moderate,47.1264367816092,1517782.38395372,1448846.37167836,0.00503143418302434,68930.6491248334,5.36345262506411,0.00343125129762443,1.61678476318263E-06,4.72842513009266E-05,97.0148202080936,97.3826596744081,December 2025
24108,T15003002702,Hawaii,HI,15,Honolulu,County,003,15003,002702,15003002702,4705,1033613532,0,0.40257204,77.3340066232943,Relatively Moderate,67.816091954023,2331838.31334531,2026354.13929413,0.022298114875867,305484.174181177,0,0.00220072632377788,4.73923801825015E-06,0,83.6484486929563,83.948723437147,December 2025
24109,T15003002801,Hawaii,HI,15,Honolulu,County,003,15003,002801,15003002801,1778,410886116,0,0.26265291,14.894191699744,Very Low,13.7931034482759,637302.481800093,557242.921236567,0.00584376358288509,80059.5611635258,0,0.00152241120135727,3.28670617710073E-06,0,67.5470324353524,81.0673896757162,December 2025
24110,T15003002802,Hawaii,HI,15,Honolulu,County,003,15003,002802,15003002802,2353,336826557,0,0.63626199,15.9581464170796,Very Low,14.9425287356322,660017.670886291,598803.941218056,0.00446815548545516,61213.7292682357,0,0.00199566297836733,1.89891860835323E-06,0,82.9555863494375,81.8225060349851,December 2025
24111,T15003002900,Hawaii,HI,15,Honolulu,County,003,15003,002900,15003002900,2251,332975387,0,0.45842277,27.0345491697395,Relatively Low,22.5287356321839,875890.871002058,781948.157688308,0.00685713235700368,93942.7134537505,0,0.0026361778453956,3.0462604873406E-06,0,89.2465415599972,77.8114706337032,December 2025
