OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Landslide - Number of Events,Landslide - Annualized Frequency,Landslide - Exposure - Impacted Area (sq mi),Landslide - Exposure - Building Value,Landslide - Exposure - Population,Landslide - Exposure - Population Equivalence,Landslide - Exposure - Total,Landslide - Historic Loss Ratio - Buildings,Landslide - Historic Loss Ratio - Population,Landslide - Historic Loss Ratio - Total Rating,Landslide - Expected Annual Loss - Building Value,Landslide - Expected Annual Loss - Population,Landslide - Expected Annual Loss - Population Equivalence,Landslide - Expected Annual Loss - Total,Landslide - Expected Annual Loss Score,Landslide - Expected Annual Loss Rating,Landslide - Expected Annual Loss Rate - Building,Landslide - Expected Annual Loss Rate - Population,Landslide - Expected Annual Loss Rate - National Percentile,Landslide - Hazard Type Risk Index Value,Landslide - Hazard Type Risk Index Score,Landslide - Hazard Type Risk Index Rating,National Risk Index Version
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,,0.00,0.19,"102,780,182.76",244.96,"3,355,997,464.58","3,458,777,647.34",0.00,0.00,Relatively Low,15.14,0.00,660.38,675.52,90.29,Relatively Low,0.00,0.00,14.41,614.05,90.06,Relatively Low,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,,0.00,0.14,"56,630,760.71",403.87,"5,532,974,423.62","5,589,605,184.34",0.00,0.00,Relatively Moderate,147.13,0.00,"19,204.53","19,351.66",98.23,Relatively Moderate,0.00,0.00,11.39,"22,201.48",98.59,Relatively Moderate,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,,0.00,0.12,"103,461,637.95",783.11,"10,728,543,333.35","10,832,004,971.30",0.00,0.00,Relatively Moderate,104.84,0.00,"14,524.46","14,629.30",97.92,Relatively Moderate,0.00,0.00,11.27,"15,399.77",98.18,Relatively Moderate,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,,0.00,0.09,"70,400,764.07",488.67,"6,694,820,354.70","6,765,221,118.77",0.00,0.00,Relatively Low,53.81,0.00,"6,836.66","6,890.47",96.84,Relatively Moderate,0.00,0.00,11.41,"5,418.00",96.53,Relatively Moderate,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,,0.00,0.15,"109,231,901.68",621.95,"8,520,679,511.64","8,629,911,413.31",0.00,0.00,Relatively Moderate,264.35,0.00,"27,548.73","27,813.08",98.64,Relatively Moderate,0.00,0.00,11.94,"21,869.54",98.58,Relatively Moderate,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,,0.00,0.03,"2,012,468.98",16.58,"227,124,968.08","229,137,437.06",0.00,0.00,Very Low,0.04,0.00,6.05,6.09,56.57,Very Low,0.00,0.00,9.70,4.79,53.78,Very Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,,0.00,0.25,"148,300,667.67",697.81,"9,560,046,811.15","9,708,347,478.82",0.00,0.00,Relatively Moderate,239.52,0.00,"20,628.20","20,867.72",98.32,Relatively Moderate,0.00,0.00,12.42,"24,164.63",98.69,Relatively Moderate,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,,0.00,0.04,"4,081,543.54",24.60,"337,066,776.28","341,148,319.82",0.00,0.00,Relatively Low,0.41,0.00,45.77,46.18,74.69,Very Low,0.00,0.00,10.42,55.01,76.08,Very Low,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,,0.00,0.26,"109,641,393.33",561.74,"7,695,798,272.73","7,805,439,666.06",0.00,0.00,Relatively Moderate,923.08,0.01,"86,560.51","87,483.60",99.30,Relatively High,0.00,0.00,12.24,"68,788.71",99.43,Relatively High,December 2025
