OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tornado - Number of Events,Tornado - Annualized Frequency,Tornado - Exposure - Impacted Area (sq mi),Tornado - Exposure - Building Value,Tornado - Exposure - Population,Tornado - Exposure - Population Equivalence,Tornado - Exposure - Agriculture Value,Tornado - Exposure - Total,Tornado - Historic Loss Ratio - Buildings,Tornado - Historic Loss Ratio - Population,Tornado - Historic Loss Ratio - Agriculture,Tornado - Historic Loss Ratio - Total Rating,Tornado - Expected Annual Loss - Building Value,Tornado - Expected Annual Loss - Population,Tornado - Expected Annual Loss - Population Equivalence,Tornado - Expected Annual Loss - Agriculture Value,Tornado - Expected Annual Loss - Total,Tornado - Expected Annual Loss Score,Tornado - Expected Annual Loss Rating,Tornado - Expected Annual Loss Rate - Building,Tornado - Expected Annual Loss Rate - Population,Tornado - Expected Annual Loss Rate - Agriculture,Tornado - Expected Annual Loss Rate - National Percentile,Tornado - Hazard Type Risk Index Value,Tornado - Hazard Type Risk Index Score,Tornado - Hazard Type Risk Index Rating,National Risk Index Version
24036,T15001021607,Hawaii,HI,15,Hawaii,County,001,15001,021607,15001021607,4452,"837,355,859.00","158,411.00",1.94,0.00,0.00,1.93,"837,355,859.00","4,452.00","60,992,400,000.00","158,411.00","61,829,914,270.00",0.08,0.00,0.02,Very Low,760.87,0.00,348.17,0.03,"1,109.07",3.37,Very Low,0.00,0.00,0.00,5.17,"1,290.16",3.25,Very Low,December 2025
24037,T15001021608,Hawaii,HI,15,Hawaii,County,001,15001,021608,15001021608,3832,"883,520,606.00",0.00,2.28,0.00,0.00,1.98,"883,520,606.00","3,832.00","52,498,400,000.00",0.00,"53,381,920,606.00",0.07,0.00,0.00,Very Low,802.82,0.00,299.68,0.00,"1,102.50",3.35,Very Low,0.00,0.00,0.00,5.47,"1,063.88",2.83,Very Low,December 2025
24038,T15001021705,Hawaii,HI,15,Hawaii,County,001,15001,021705,15001021705,6366,"1,270,230,035.00","4,790,189.00",42.04,0.00,0.00,23.61,"1,270,230,035.00","6,366.00","87,214,200,000.00","4,790,189.00","88,489,220,224.00",0.00,0.00,0.00,Very Low,"1,314.54",0.00,505.14,2.14,"1,821.82",4.98,Very Low,0.00,0.00,0.00,6.14,"1,892.63",4.25,Very Low,December 2025
24039,T15001021706,Hawaii,HI,15,Hawaii,County,001,15001,021706,15001021706,3795,"884,836,317.00","18,715,023.00",162.24,0.00,0.00,93.65,"884,836,317.00","3,795.00","51,991,500,000.00","18,715,023.00","52,895,051,340.00",0.00,0.00,0.00,Very Low,903.07,0.00,299.99,4.35,"1,207.41",3.59,Very Low,0.00,0.00,0.00,6.58,"1,415.86",3.47,Very Low,December 2025
24040,T15001021707,Hawaii,HI,15,Hawaii,County,001,15001,021707,15001021707,4997,"866,377,170.00","12,871,697.00",63.10,0.00,0.00,36.37,"866,377,170.00","4,997.00","68,458,900,000.00","12,871,697.00","69,338,148,867.00",0.00,0.00,0.00,Very Low,897.45,0.00,396.60,3.07,"1,297.12",3.82,Very Low,0.00,0.00,0.00,6.02,"1,306.84",3.29,Very Low,December 2025
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,0.00,0.00,49.44,"2,527,025,217.00","4,152.00","56,882,400,000.00","3,646,817.00","59,413,072,034.00",0.00,0.00,0.00,Very Low,"2,621.69",0.00,329.55,2.05,"2,953.29",7.57,Very Low,0.00,0.00,0.00,7.44,"3,584.55",7.50,Very Low,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,0.00,0.00,84.34,"1,318,845,881.00","6,927.00","94,899,900,000.00","24,839,420.00","96,243,585,301.00",0.00,0.00,0.00,Very Low,"1,366.33",0.00,549.80,8.11,"1,924.24",5.21,Very Low,0.00,0.00,0.00,6.35,"2,086.11",4.55,Very Low,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,0.00,0.00,80.95,"736,627,875.00","4,199.00","57,526,300,000.00","13,353,438.00","58,276,281,313.00",0.00,0.00,0.00,Very Low,671.03,0.00,328.43,4.94,"1,004.40",3.13,Very Low,0.00,0.00,0.00,5.48,"1,341.14",3.34,Very Low,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,0.00,0.00,204.67,"375,920,365.00","2,678.00","36,688,600,000.00","31,687,785.00","37,096,208,150.00",0.00,0.00,0.00,Very Low,341.58,0.00,209.43,8.06,559.08,2.18,Very Low,0.00,0.00,0.00,5.89,625.15,2.10,Very Low,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,0.00,0.00,143.37,"374,194,684.00","2,100.00","28,770,000,000.00","16,997,086.00","29,161,191,770.00",0.00,0.00,0.00,Very Low,334.91,0.00,163.08,9.17,507.16,2.10,Very Low,0.00,0.00,0.00,6.60,657.17,2.15,Very Low,December 2025
