OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Tsunami - Number of Events,Tsunami - Annualized Frequency,Tsunami - Exposure - Impacted Area (sq mi),Tsunami - Exposure - Building Value,Tsunami - Exposure - Population,Tsunami - Exposure - Population Equivalence,Tsunami - Exposure - Total,Tsunami - Historic Loss Ratio - Buildings,Tsunami - Historic Loss Ratio - Population,Tsunami - Historic Loss Ratio - Total Rating,Tsunami - Expected Annual Loss - Building Value,Tsunami - Expected Annual Loss - Population,Tsunami - Expected Annual Loss - Population Equivalence,Tsunami - Expected Annual Loss - Total,Tsunami - Expected Annual Loss Score,Tsunami - Expected Annual Loss Rating,Tsunami - Expected Annual Loss Rate - Building,Tsunami - Expected Annual Loss Rate - Population,Tsunami - Expected Annual Loss Rate - National Percentile,Tsunami - Hazard Type Risk Index Value,Tsunami - Hazard Type Risk Index Score,Tsunami - Hazard Type Risk Index Rating,National Risk Index Version
24275,T15003008943,Hawaii,HI,15,Honolulu,County,003,15003,008943,15003008943,1372,"192,256,697.00",0.00,0.19,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24276,T15003008944,Hawaii,HI,15,Honolulu,County,003,15003,008944,15003008944,3517,"427,413,458.00",0.00,0.25,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24277,T15003008945,Hawaii,HI,15,Honolulu,County,003,15003,008945,15003008945,1436,"731,287,120.00","2,727,001.00",1.69,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24278,T15003008946,Hawaii,HI,15,Honolulu,County,003,15003,008946,15003008946,2882,"357,562,455.00",0.00,0.23,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24279,T15003008947,Hawaii,HI,15,Honolulu,County,003,15003,008947,15003008947,1846,"221,995,728.00",0.00,0.11,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24280,T15003008948,Hawaii,HI,15,Honolulu,County,003,15003,008948,15003008948,2807,"497,556,973.00",0.00,0.24,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24281,T15003008949,Hawaii,HI,15,Honolulu,County,003,15003,008949,15003008949,1540,"383,470,875.00",0.00,0.28,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24282,T15003008950,Hawaii,HI,15,Honolulu,County,003,15003,008950,15003008950,2068,"199,634,063.00",0.00,0.16,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24283,T15003008951,Hawaii,HI,15,Honolulu,County,003,15003,008951,15003008951,2101,"180,086,704.00",0.00,0.11,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
24284,T15003008952,Hawaii,HI,15,Honolulu,County,003,15003,008952,15003008952,6000,"778,597,608.00",0.00,1.56,,,,,,,,,,Not Applicable,,,,,,Not Applicable,,,,,,Not Applicable,December 2025
