OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Coastal Flooding - Number of Events,Coastal Flooding - Annualized Frequency,Coastal Flooding - Exposure - Impacted Area (sq mi),Coastal Flooding - Exposure - Building Value,Coastal Flooding - Exposure - Population,Coastal Flooding - Exposure - Population Equivalence,Coastal Flooding - Exposure - Total,Coastal Flooding - Historic Loss Ratio - Buildings,Coastal Flooding - Historic Loss Ratio - Population,Coastal Flooding - Historic Loss Ratio - Total Rating,Coastal Flooding - Expected Annual Loss - Building Value,Coastal Flooding - Expected Annual Loss - Population,Coastal Flooding - Expected Annual Loss - Population Equivalence,Coastal Flooding - Expected Annual Loss - Total,Coastal Flooding - Expected Annual Loss Score,Coastal Flooding - Expected Annual Loss Rating,Coastal Flooding - Expected Annual Loss Rate - Building,Coastal Flooding - Expected Annual Loss Rate - Population,Coastal Flooding - Expected Annual Loss Rate - National Percentile,Coastal Flooding - Hazard Type Risk Index Value,Coastal Flooding - Hazard Type Risk Index Score,Coastal Flooding - Hazard Type Risk Index Rating,National Risk Index Version
24041,T15001021708,Hawaii,HI,15,Hawaii,County,001,15001,021708,15001021708,4152,"2,527,025,217.00","3,646,817.00",94.38,,0.78,0.13,"120,894,134.14",188.31,"2,579,880,433.39","2,700,774,567.53",0.00,0.00,Relatively Moderate,"21,209.49",0.00,10.76,"21,220.24",90.07,Relatively Moderate,0.00,0.00,92.27,"25,755.98",90.08,Relatively Moderate,December 2025
24042,T15001021800,Hawaii,HI,15,Hawaii,County,001,15001,021800,15001021800,6927,"1,318,845,881.00","24,839,420.00",157.17,,0.78,0.01,"2,371,568.68",12.58,"172,332,749.59","174,704,318.27",0.00,0.00,Relatively Low,205.66,0.00,0.33,205.99,74.16,Very Low,0.00,0.00,82.62,223.32,74.19,Very Low,December 2025
24043,T15001021902,Hawaii,HI,15,Hawaii,County,001,15001,021902,15001021902,4199,"736,627,875.00","13,353,438.00",129.29,,0.03,0.07,"27,883,205.44",127.68,"1,749,264,704.05","1,777,147,909.49",0.00,0.00,Very Low,175.40,0.00,0.50,175.90,73.84,Very Low,0.00,0.00,83.41,234.87,74.29,Very Low,December 2025
24044,T15001022000,Hawaii,HI,15,Hawaii,County,001,15001,022000,15001022000,2678,"375,920,365.00","31,687,785.00",477.39,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24045,T15001022102,Hawaii,HI,15,Hawaii,County,001,15001,022102,15001022102,2100,"374,194,684.00","16,997,086.00",330.62,,0.77,0.00,"14,328.46",0.20,"2,711,023.21","2,725,351.67",0.00,0.00,Relatively Moderate,25.38,0.00,0.29,25.67,71.01,Very Low,0.00,0.00,80.39,33.26,71.29,Very Low,December 2025
24046,T15003000107,Hawaii,HI,15,Honolulu,County,003,15003,000107,15003000107,2740,"420,741,753.00","40,385.00",1.18,,0.33,0.00,"5,766,900.47",30.68,"420,338,372.15","426,105,272.61",0.00,0.00,Relatively Low,"1,511.03",0.00,7.88,"1,518.91",79.57,Relatively Low,0.00,0.00,89.73,"1,194.32",78.48,Relatively Low,December 2025
24047,T15003000108,Hawaii,HI,15,Honolulu,County,003,15003,000108,15003000108,3213,"708,351,504.00",0.00,0.54,,0.33,0.05,"147,471,688.72",521.48,"7,144,337,012.98","7,291,808,701.70",0.00,0.00,Relatively Low,"11,792.67",0.00,42.49,"11,835.17",87.60,Relatively Low,0.00,0.00,94.19,"11,990.51",86.96,Relatively Low,December 2025
24048,T15003000110,Hawaii,HI,15,Honolulu,County,003,15003,000110,15003000110,4254,"738,534,784.00",0.00,3.00,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24049,T15003000114,Hawaii,HI,15,Honolulu,County,003,15003,000114,15003000114,1722,"581,702,437.00",0.00,0.75,,0.33,0.06,"97,695,201.82",215.95,"2,958,463,335.18","3,056,158,537.00",0.00,0.00,Relatively Low,"5,991.95",0.00,9.84,"6,001.79",84.67,Relatively Low,0.00,0.00,92.87,"5,455.69",83.65,Relatively Low,December 2025
24050,T15003000115,Hawaii,HI,15,Honolulu,County,003,15003,000115,15003000115,2774,"416,834,188.00",0.00,1.20,,0.32,0.00,"160,610.45",0.80,"10,988,839.15","11,149,449.61",0.00,0.00,Relatively Moderate,122.99,0.00,0.44,123.42,73.18,Very Low,0.00,0.00,83.84,141.60,73.31,Very Low,December 2025
24051,T15003000116,Hawaii,HI,15,Honolulu,County,003,15003,000116,15003000116,2500,"332,294,641.00",0.00,0.47,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24052,T15003000117,Hawaii,HI,15,Honolulu,County,003,15003,000117,15003000117,1464,"210,911,397.00",0.00,0.34,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24053,T15003000118,Hawaii,HI,15,Honolulu,County,003,15003,000118,15003000118,1771,"285,011,674.00","112,491.00",1.07,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24054,T15003000119,Hawaii,HI,15,Honolulu,County,003,15003,000119,15003000119,2195,"319,953,943.00",0.00,0.29,,0.33,0.00,"6,322,593.04",14.84,"203,357,008.54","209,679,601.58",0.00,0.00,Relatively Moderate,"1,330.75",0.00,2.46,"1,333.21",79.13,Relatively Low,0.00,0.00,90.27,"1,048.31",78.14,Relatively Low,December 2025
24055,T15003000120,Hawaii,HI,15,Honolulu,County,003,15003,000120,15003000120,2624,"504,925,697.00",0.00,0.87,,0.33,0.00,"3,635,533.03",20.23,"277,196,745.54","280,832,278.56",0.00,0.00,Relatively Moderate,"2,590.18",0.00,11.52,"2,601.70",81.38,Relatively Low,0.00,0.00,90.68,"3,012.74",81.33,Relatively Low,December 2025
24056,T15003000121,Hawaii,HI,15,Honolulu,County,003,15003,000121,15003000121,2774,"491,381,281.00",0.00,0.32,,0.33,0.02,"90,313,674.91",157.73,"2,160,851,354.41","2,251,165,029.32",0.00,0.00,Relatively Low,"9,252.28",0.00,13.33,"9,265.60",86.63,Relatively Low,0.00,0.00,94.68,"7,285.58",84.81,Relatively Low,December 2025
24057,T15003000122,Hawaii,HI,15,Honolulu,County,003,15003,000122,15003000122,3112,"474,000,379.00","127,332.00",0.46,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24058,T15003000200,Hawaii,HI,15,Honolulu,County,003,15003,000200,15003000200,5745,"1,095,076,869.00",0.00,4.18,,0.33,0.20,"302,634,624.52","1,419.83","19,451,641,956.57","19,754,276,581.09",0.00,0.00,Relatively Low,"48,841.34",0.00,170.55,"49,011.99",93.11,Relatively Moderate,0.00,0.00,96.58,"38,538.33",91.61,Relatively Moderate,December 2025
24059,T15003000301,Hawaii,HI,15,Honolulu,County,003,15003,000301,15003000301,3608,"1,051,686,629.00",0.00,3.34,,0.33,0.11,"163,863,334.67",924.55,"12,666,290,178.15","12,830,153,512.83",0.00,0.00,Relatively Low,"2,858.56",0.00,10.02,"2,868.58",81.71,Relatively Low,0.00,0.00,89.20,"3,180.03",81.51,Relatively Low,December 2025
24060,T15003000302,Hawaii,HI,15,Honolulu,County,003,15003,000302,15003000302,2702,"632,621,262.00",0.00,0.93,,0.33,0.20,"329,643,886.32","1,187.84","16,273,468,551.48","16,603,112,437.81",0.00,0.00,Relatively Low,"10,853.54",0.00,22.72,"10,876.27",87.27,Relatively Low,0.00,0.00,94.34,"8,552.05",85.42,Relatively Low,December 2025
24061,T15003000401,Hawaii,HI,15,Honolulu,County,003,15003,000401,15003000401,2758,"627,754,965.00",0.00,2.41,,0.01,0.02,"31,119,203.51",153.75,"2,106,335,019.84","2,137,454,223.35",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
24062,T15003000402,Hawaii,HI,15,Honolulu,County,003,15003,000402,15003000402,4147,"1,381,442,795.00",0.00,1.17,,0.00,0.02,"36,600,414.06",107.91,"1,478,348,267.95","1,514,948,682.00",0.00,0.00,No Rating,0.00,0.00,0.00,0.00,0.00,No Expected Annual Losses,0.00,0.00,0.00,0.00,0.00,No Rating,December 2025
