OBJECTID,National Risk Index ID,State Name,State Name Abbreviation,State FIPS Code,County Name,County Type,County FIPS Code,State-County FIPS Code,Census Tract,Census Tract FIPS Code,Population (2020),Building Value ($),Agriculture Value ($),Area (sq mi),Lightning - Number of Events,Lightning - Annualized Frequency,Lightning - Exposure - Impacted Area (sq mi),Lightning - Exposure - Building Value,Lightning - Exposure - Population,Lightning - Exposure - Population Equivalence,Lightning - Exposure - Total,Lightning - Historic Loss Ratio - Buildings,Lightning - Historic Loss Ratio - Population,Lightning - Historic Loss Ratio - Total Rating,Lightning - Expected Annual Loss - Building Value,Lightning - Expected Annual Loss - Population,Lightning - Expected Annual Loss - Population Equivalence,Lightning - Expected Annual Loss - Total,Lightning - Expected Annual Loss Score,Lightning - Expected Annual Loss Rating,Lightning - Expected Annual Loss Rate - Building,Lightning - Expected Annual Loss Rate - Population,Lightning - Expected Annual Loss Rate - National Percentile,Lightning - Hazard Type Risk Index Value,Lightning - Hazard Type Risk Index Score,Lightning - Hazard Type Risk Index Rating,National Risk Index Version
24099,T15003002206,Hawaii,HI,15,Honolulu,County,003,15003,002206,15003002206,1961,"162,642,507.00",0.00,0.04,231.00,77.00,0.04,"162,642,507.00","1,961.00","26,865,700,000.00","27,028,342,507.00",0.00,0.00,Relatively High,412.31,0.00,"23,426.56","23,838.87",73.88,Relatively Moderate,0.00,0.00,36.82,"40,945.68",85.77,Relatively High,December 2025
24100,T15003002301,Hawaii,HI,15,Honolulu,County,003,15003,002301,15003002301,3250,"293,853,640.00",0.00,0.08,847.00,77.00,0.08,"293,853,640.00","3,250.00","44,525,000,000.00","44,818,853,640.00",0.00,0.00,Relatively High,744.94,0.00,"38,825.25","39,570.19",88.42,Relatively High,0.00,0.00,38.99,"43,024.93",86.87,Relatively High,December 2025
24101,T15003002302,Hawaii,HI,15,Honolulu,County,003,15003,002302,15003002302,2087,"243,898,370.00",0.00,0.06,862.00,77.72,0.06,"243,898,370.00","2,087.00","28,591,900,000.00","28,835,798,370.00",0.00,0.00,Relatively High,623.45,0.00,"25,183.12","25,806.58",76.49,Relatively High,0.00,0.00,45.95,"27,656.39",74.86,Relatively Moderate,December 2025
24102,T15003002401,Hawaii,HI,15,Honolulu,County,003,15003,002401,15003002401,2912,"265,210,473.00",0.00,0.07,"2,197.00",84.50,0.07,"265,210,473.00","2,912.00","39,894,400,000.00","40,159,610,473.00",0.00,0.00,Relatively High,737.81,0.00,"38,175.81","38,913.63",88.03,Relatively High,0.00,0.00,40.17,"49,837.70",89.95,Relatively High,December 2025
24103,T15003002403,Hawaii,HI,15,Honolulu,County,003,15003,002403,15003002403,1567,"180,068,729.00",0.00,0.04,"1,352.00",84.50,0.04,"180,068,729.00","1,567.00","21,467,900,000.00","21,647,968,729.00",0.00,0.00,Relatively High,500.95,0.00,"20,543.10","21,044.05",69.66,Relatively Moderate,0.00,0.00,46.56,"30,560.43",77.87,Relatively Moderate,December 2025
24104,T15003002404,Hawaii,HI,15,Honolulu,County,003,15003,002404,15003002404,1423,"187,805,692.00",0.00,0.06,753.00,82.67,0.06,"187,805,692.00","1,423.00","19,495,100,000.00","19,682,905,692.00",0.00,0.00,Relatively High,507.72,0.00,"18,143.30","18,651.02",65.46,Relatively Moderate,0.00,0.00,50.16,"29,065.59",76.37,Relatively Moderate,December 2025
24105,T15003002500,Hawaii,HI,15,Honolulu,County,003,15003,002500,15003002500,3941,"598,349,571.00",0.00,0.17,"3,175.00",91.39,0.17,"598,349,571.00","3,941.00","53,991,700,000.00","54,590,049,571.00",0.00,0.00,Relatively High,"1,803.59",0.00,"55,966.47","57,770.06",94.63,Relatively High,0.00,0.00,54.95,"92,941.05",97.36,Very High,December 2025
24106,T15003002600,Hawaii,HI,15,Honolulu,County,003,15003,002600,15003002600,4174,"1,928,651,249.00",0.00,0.26,"4,640.00",83.90,0.26,"1,928,651,249.00","4,174.00","57,183,800,000.00","59,112,451,249.00",0.00,0.00,Relatively High,"5,629.32",0.00,"55,601.26","61,230.57",95.25,Very High,0.00,0.00,81.21,"83,540.48",96.59,Very High,December 2025
24107,T15003002701,Hawaii,HI,15,Honolulu,County,003,15003,002701,15003002701,4078,"1,795,731,621.00",0.00,0.58,"2,387.00",77.00,0.58,"1,795,731,621.00","4,078.00","55,868,600,000.00","57,664,331,621.00",0.00,0.00,Relatively High,"4,552.30",0.00,"48,716.73","53,269.03",93.66,Relatively High,0.00,0.00,78.65,"64,236.99",93.92,Relatively High,December 2025
24108,T15003002702,Hawaii,HI,15,Honolulu,County,003,15003,002702,15003002702,4705,"1,033,613,532.00",0.00,0.40,"7,200.00",79.49,0.40,"1,033,613,532.00","4,705.00","64,458,500,000.00","65,492,113,532.00",0.00,0.00,Relatively High,"2,734.77",0.00,"59,835.11","62,569.88",95.47,Very High,0.00,0.00,63.08,"73,451.13",95.45,Relatively High,December 2025
24109,T15003002801,Hawaii,HI,15,Honolulu,County,003,15003,002801,15003002801,1778,"410,886,116.00",0.00,0.26,"1,037.00",73.43,0.26,"410,886,116.00","1,778.00","24,358,600,000.00","24,769,486,116.00",0.00,0.00,Relatively High,992.04,0.00,"20,266.16","21,258.21",70.03,Relatively Moderate,0.00,0.00,63.89,"32,466.76",79.67,Relatively High,December 2025
24110,T15003002802,Hawaii,HI,15,Honolulu,County,003,15003,002802,15003002802,2353,"336,826,557.00",0.00,0.64,"2,090.00",77.72,0.64,"336,826,557.00","2,353.00","32,236,100,000.00","32,572,926,557.00",0.00,0.00,Relatively High,837.32,0.00,"27,540.64","28,377.96",79.50,Relatively High,0.00,0.00,51.51,"31,949.94",79.21,Relatively High,December 2025
24111,T15003002900,Hawaii,HI,15,Honolulu,County,003,15003,002900,15003002900,2251,"332,975,387.00",0.00,0.46,"2,275.00",79.32,0.46,"332,975,387.00","2,251.00","30,838,700,000.00","31,171,675,387.00",0.00,0.00,Relatively High,873.73,0.00,"28,051.73","28,925.46",80.09,Relatively High,0.00,0.00,52.82,"22,744.20",68.72,Relatively Moderate,December 2025
24112,T15003003000,Hawaii,HI,15,Honolulu,County,003,15003,003000,15003003000,4305,"911,851,857.00",0.00,0.59,"5,082.00",77.00,0.59,"911,851,857.00","4,305.00","58,978,500,000.00","59,890,351,857.00",0.00,0.00,Relatively High,"2,311.60",0.00,"51,428.53","53,740.13",93.79,Relatively High,0.00,0.00,62.15,"57,619.49",92.41,Relatively High,December 2025
24113,T15003003102,Hawaii,HI,15,Honolulu,County,003,15003,003102,15003003102,3345,"626,336,494.00",0.00,1.52,"3,775.00",81.89,1.52,"626,336,494.00","3,345.00","45,826,500,000.00","46,452,836,494.00",0.00,0.00,Relatively High,"1,695.38",0.00,"42,640.28","44,335.65",90.80,Relatively High,0.00,0.00,59.78,"47,011.33",88.75,Relatively High,December 2025
